"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
"Unassigned;Other;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella",0.0,0.0,0.0,0.0,0.0,0.00119293415921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00268271936138,0.0,0.00627966061071,0.0,0.00549677064724,0.0,0.0,0.0479739802141,0.0253342321088,0.0,0.0,0.00613031662769,0.000110533878634,0.00345337937839,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella]",0.0,0.0,0.0,0.0,0.0,0.0072952512044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00495263870095
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135519718119,0.0,0.000555106984255,0.0,0.0,0.0,0.0,0.000757780784844
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000157544821502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126035857201,0.0,0.0,0.0,0.0,0.0,0.0,0.000112346927312,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000132969882322,0.0,0.0,0.0,0.000157544821502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other;Other",0.000156121060731,0.0,0.000112028081706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000964031646832,0.0,0.0,0.0,0.0,0.0,0.0,0.000137419266181,0.0,0.0,0.0,0.0,0.000353249899071,0.0,0.0,0.0,0.000181756809389,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__;g__",0.0,0.0,0.00018671346951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00232697294063,0.0,0.0,0.0,0.000157544821502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000269287733944,0.0,0.0,0.0,0.0
