"","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control"
"Unassigned;Other;Other;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000155096470004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000406559154357,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae",0.0,0.0,0.0,0.0,0.0,0.0,0.000183225688241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000314248004525,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__coprophilus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016346546792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__eggerthii",0.0,0.0,0.0,0.00102778835173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000826490348726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114514161811,0.000786870503597,0.0400016563833,0.000213174163291,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis",0.0,0.000397132286855,0.0,0.0,0.0033698749818,0.0,0.0,0.0,0.000677430281134,0.000649742423539,0.0,0.00455902740749,0.00017599436818,0.0,0.0,0.000442106193908,0.000814589026697,0.00688628326819,0.0,0.0035429952899,0.000276797453463,0.0,0.000709087516328,0.0,0.0195462258815,0.0,0.000337230215827,0.00550747442958,0.00303181032237,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus",0.0109077661581,0.0113078193257,0.00140942844521,0.000304529881995,0.0,0.0017216401772,0.000137419266181,0.00328156475405,0.0254789055737,0.0076808836497,0.0507077758387,0.0,0.000483984512496,0.0,0.0045044096908,0.0,0.000604372503679,0.0120975246603,0.00253276933521,0.0558125963903,0.00214518026434,0.00699268946102,0.0414629595074,0.000188982330152,0.160455031111,0.0031847133758,0.000730665467626,0.0209118389995,0.0162249224283,0.000686900552065
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis",0.0104148808503,0.0179127563071,0.00134631970886,0.00441568328892,0.0111497098163,0.00193159629637,0.00137419266181,0.00386639807655,0.0,0.0126467721725,0.0573007562536,0.00375919803775,0.00360788454769,0.0,0.00936664631964,0.0532295857465,0.00186567164179,0.0214343321546,0.0120632931224,0.025092743112,0.00200678153761,0.000953548562866,0.0477701063631,0.00119688809096,0.0,0.00792790350996,0.00494604316547,0.00679117147708,0.019801511168,0.0108632050271
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__",0.00135007714727,0.00100328156679,0.0011990659907,0.00186524552722,0.0,0.00130172793886,0.0028858045898,0.0,0.0,0.000765767856314,0.0,0.00439906153354,0.000703977472721,0.0,0.00385190174493,0.0,0.000236493588396,0.00204727340406,0.00391665361115,0.00866991788587,0.00332156944156,0.00576669845162,0.000149281582385,0.000692935210558,0.00232543523349,0.0,0.000590152877698,0.00575593192265,0.00701106137047,0.00218790546213
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis",0.00287159266244,0.00355328888239,0.000652123608978,0.000913589645984,0.0,0.000440907850259,0.000549677064724,0.00100721294431,0.00169357570283,0.00220448322272,0.00370855148342,0.00194625146635,0.00109996480113,0.0,0.00101033488392,0.0111631813962,0.0,0.0222718530926,0.000339443312967,0.0201325497061,0.00131478790395,0.000953548562866,0.00156745661504,0.000755929320609,0.0,0.00199891584226,0.00503035071942,0.0,0.00859802458609,0.00353626580507
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__endodontalis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000162435605885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__",0.0,0.0,0.000967667290742,0.000418728587743,0.0,0.0,0.000229032110302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00367878915283,0.0,0.00336832210559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000207047910887,0.0,0.0
