"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
"Unassigned;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae",0.00664629658541,0.00243283266342,0.0104932969864,0.00318179504149,0.00393066967739,0.001972929571,0.000722724987431,0.00716777672058,0.00846604056077,0.00249648553008,0.0142942623496,0.00312968350525,0.000187593796898,0.000163580448865,0.00831836657529,0.0,0.0,0.00371032018689,0.0,0.0,0.000677598590595,0.000449387709246,0.00312878482035,0.0,0.00104278581811,0.000921115655282,0.0073741334095,0.000297699594046
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae",0.00196266476348,0.00194626613074,0.0,0.00341088428448,0.000815404879885,0.000596467079605,0.0,0.000222010783381,0.000136109976861,0.00155121430995,0.0205106043481,0.0,0.000312656328164,0.0,0.0,0.0,0.0,0.0,0.000999061487693,0.0,0.0,0.00252780586451,0.0,0.000269287733944,0.0,0.0,0.000363513618778,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other",0.000178424069407,0.000211550666385,0.00018671346951,0.0,2.09078174329e-05,0.0,0.0,6.34316523945e-05,0.000408329930584,0.0,0.000132969882322,0.000132240148109,0.0,0.000588889615913,0.0,0.0,0.0,4.58064220604e-05,3.02745905362e-05,0.0,0.0,0.0,0.0,0.0,6.31991404917e-05,3.68446262113e-05,5.19305169683e-05,2.70635994587e-05
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__",0.0215001003635,0.0616035540512,0.000224056163412,0.0357633762664,0.000334525078927,0.0276668960771,0.0039592760181,0.0294957183635,0.0300258608956,0.000557467642639,0.00495312811648,0.0154280172794,0.0148615974654,0.0210037296342,0.0,0.0480082450506,0.012426058994,0.0110851541386,0.0844963821864,0.0012177795819,0.00779238379184,0.00134816312774,0.0192268873637,0.000538575467887,0.0177905580484,0.00799528388784,0.0502427751668,0.0354803788904
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae",0.0,0.0342500528877,0.000149370775608,0.0018327139439,0.0,0.000871759577885,0.0,0.0,0.0,0.0,0.0,0.000220400246848,0.000604468901117,0.0,0.0,0.00565648818369,0.000476398427885,0.000274838532362,0.00257334019557,0.0,0.0,0.0,0.000605571255551,0.0,0.000442393983442,0.0,0.00173967231844,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae",0.0327854227535,0.0226359213032,0.00209119085851,0.00570177671435,0.0160781116059,0.0518467538426,0.00358220211161,0.0022835394862,0.00590717299578,0.0155121430995,0.0519247390466,0.0126068941197,0.0136943471736,0.00101419878296,0.00122884960771,0.00455395235128,0.000555798165866,0.00403096514131,0.0125034058914,0.00137000202963,0.00792790350996,0.00539265251095,0.000454178441663,0.00673219334859,0.00445553940466,0.00140009579603,0.00394671928959,0.00208389715832
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae",0.0,0.000148085466469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000239681702699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000181756809389,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__EtOH8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000143809021619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000467374652715,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae",0.0,0.0,0.000112028081706,0.0,0.0,0.0,0.000408496732026,0.0,0.000408329930584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae",0.417802261525,0.26255553205,0.672952686807,0.451254899964,0.593740199461,0.315898141776,0.465843388638,0.428702822709,0.441105213012,0.503974986669,0.351805066153,0.451820506039,0.252980656995,0.0835241771903,0.111132117087,0.230837447869,0.120211203303,0.179240529522,0.208137809936,0.19662066166,0.286217644667,0.20267385687,0.172537343561,0.248956510031,0.277349428048,0.196197634575,0.284163788851,0.17250338295
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae",0.000111515043379,0.0,0.0,0.00053454156697,0.0,0.0,0.0,0.0,0.0,0.0,0.00189482082308,0.0,0.0,0.0,0.0,0.000790949618906,0.0,0.000183225688241,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae",0.000490666190869,0.000888512798815,0.000149370775608,0.000305452323983,0.000564511070689,0.00229410415233,0.0,0.0,0.0,0.0,0.00083106176451,0.000484880543066,0.0,0.0,0.000126035857201,0.0,0.0,0.0,0.0,0.0,0.0,0.00039321424559,0.0,0.00033660966743,0.000126398280983,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae",0.278653790396,0.407531203723,0.0999290488816,0.30135417197,0.148508227226,0.339252122046,0.173045500251,0.235331430384,0.271838845787,0.301299141985,0.16953659996,0.285241999471,0.322557111889,0.238467578355,0.00437974603775,0.415488231628,0.477748223431,0.37149008291,0.358451151948,0.025471889588,0.142498983602,0.245421862712,0.166178845377,0.189174633095,0.166592934336,0.323274750378,0.293329525095,0.263301759134
