"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
"Unassigned;Other;Other;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis",0.00622253942057,0.000761582398985,0.00885021845476,0.0119890037163,0.0131092015305,0.0103234686855,0.0786827551533,0.0211544560736,0.00212331563904,0.0,0.000265939764643,0.0,0.00200100050025,0.00356605378525,0.0462866685572,0.0195580269402,0.0281075072452,0.00577160917961,0.0663013532742,0.0782423381368,0.0494646971134,0.0225817323896,0.147708922083,0.0335936448095,0.0272072299817,0.041855495376,0.0137096564796,0.0407036535859
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__",0.00236411891964,0.00255976306325,0.00623622988162,0.00066181336863,0.000188170356896,0.00243175040147,0.00999245852187,0.00364732001269,0.00296719749558,0.0,0.00279236752875,0.00912457021952,0.00291812572953,0.00579074788981,0.0,0.00328363932697,0.0141331533606,0.00952773578856,0.0145318034574,0.0238989242947,0.030695216154,0.0199415795978,0.0142813887767,0.00875185135317,0.00774189471023,0.0153642091301,0.0068807934983,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis",0.000780605303655,0.00215781679712,0.00242727510363,0.0011963549356,0.00146354722031,0.000183528332186,0.0,0.00139549635268,0.00100721382877,0.00315090406709,0.000265939764643,0.0138852155514,0.000521093880273,0.0048419812864,0.050981504238,0.00486553856479,0.0147683512644,0.00540515780312,0.00205867215646,0.0,0.0203279577178,0.0201100999888,0.0149878885749,0.00417395987613,0.00328635530557,0.000110533878634,0.00721834185859,0.031447902571
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00126398280983,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__",0.0,0.00228474719695,0.0,0.0,0.0,0.000917641660931,0.0,0.0,0.0,0.0,0.000199454823482,0.0,0.0,0.00235555846365,0.0,0.0,0.0,0.0,0.0,0.0,0.00101639788589,0.0,0.0,0.0,0.0106806547431,0.00029475700969,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri",0.0,0.0,0.0,0.0250216362063,0.0,0.00509291121817,0.0,0.0,0.0,0.0,0.194534937837,0.0,0.209104552276,0.504187659491,0.00497841635945,0.000167777191889,0.000238199213943,0.251614676378,0.00314855741576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__stercorea",0.0,0.0,0.0,0.0,0.0,0.00431291580638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000121098362145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__",0.00528581305618,0.00725618785699,0.00545203330968,0.00285088835718,0.000543603253256,0.000825877494838,0.00361362493715,0.00526482714875,0.00832993058391,0.0135973629357,0.000398909646965,0.0127832143172,0.00143821910955,0.00494012955572,0.0,0.0161785149322,0.020802731351,0.0259722413082,0.0251884593261,0.0618023137812,0.00589510773818,0.0162341309965,0.00504642712959,0.0148108253669,0.0414902357328,0.0131903761836,0.0481395892296,0.0421109607578
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__;s__",0.0,0.00539454199281,0.0,0.0,0.0,0.00330350997935,0.0,0.0,0.0,0.0,0.00132969882322,0.0,0.0,0.0,0.0,0.000934758640525,0.0,0.0,0.000181647543217,0.0,0.0,0.0,0.0,0.0,0.00129558238008,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__;s__",0.0,0.00262322826317,0.0,0.00167998778191,0.0,0.0,0.0,0.0,0.000462773921328,0.0,0.0,0.0,0.0,0.0,0.0,0.0022290398351,0.0,0.000641289908845,0.00323938118737,0.0,0.0,0.0,0.00514735567218,0.0,0.0,0.0,0.00553060005712,0.0
